Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strain],Term Source 2 REF,Term Source 2 Accession,Material Type,Experimental Condition [Genotype],Characteristics [Developmental Stage],Assay Name,Comment [Image File Comments],Comment [Image File Type],Channels
TimEmbryos-102219-HybCycle_0,MMStack_Pos15.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos15,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos15.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos15,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos15.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos15,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos16.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos16,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos16.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos16,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos16.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos16,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos17.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos17,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos17.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos17,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos17.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos17,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos18.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos18,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos18.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos18,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos18.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos18,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos19.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos19,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos19.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos19,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos19.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos19,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos2.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos2,HybCycle_0,raw,A647; A488; Cy3B; DAPI
