fov,x,y,bound_x_1,bound_x_2,bound_x_3,bound_x_4,bound_y_1,bound_y_2,bound_y_3,bound_y_4
1,1632.5,1344.5,1617,1617,1648,1648,1329,1360,1360,1329
2,1601.5,1344.5,1586,1586,1617,1617,1329,1360,1360,1329
3,1570.5,1344.5,1555,1555,1586,1586,1329,1360,1360,1329
4,1539.5,1375.5,1524,1524,1555,1555,1360,1391,1391,1360
5,1570.5,1375.5,1555,1555,1586,1586,1360,1391,1391,1360
6,1601.5,1375.5,1586,1586,1617,1617,1360,1391,1391,1360
7,1632.5,1375.5,1617,1617,1648,1648,1360,1391,1391,1360
8,1660.5,1406.5,1645,1645,1676,1676,1391,1422,1422,1391
9,1629.5,1406.5,1614,1614,1645,1645,1391,1422,1422,1391
10,1598.5,1406.5,1583,1583,1614,1614,1391,1422,1422,1391
11,1567.5,1406.5,1552,1552,1583,1583,1391,1422,1422,1391
12,1536.5,1406.5,1521,1521,1552,1552,1391,1422,1422,1391
13,1535.5,1437.5,1520,1520,1551,1551,1422,1453,1453,1422
14,1566.5,1437.5,1551,1551,1582,1582,1422,1453,1453,1422
15,1597.5,1437.5,1582,1582,1613,1613,1422,1453,1453,1422
16,1628.5,1437.5,1613,1613,1644,1644,1422,1453,1453,1422
17,1659.5,1437.5,1644,1644,1675,1675,1422,1453,1453,1422
18,1655.5,1468.5,1640,1640,1671,1671,1453,1484,1484,1453
19,1624.5,1468.5,1609,1609,1640,1640,1453,1484,1484,1453
20,1593.5,1468.5,1578,1578,1609,1609,1453,1484,1484,1453
21,1562.5,1468.5,1547,1547,1578,1578,1453,1484,1484,1453
22,1531.5,1468.5,1516,1516,1547,1547,1453,1484,1484,1453
23,1539.5,1499.5,1524,1524,1555,1555,1484,1515,1515,1484
24,1570.5,1499.5,1555,1555,1586,1586,1484,1515,1515,1484
25,1601.5,1499.5,1586,1586,1617,1617,1484,1515,1515,1484
26,1632.5,1499.5,1617,1617,1648,1648,1484,1515,1515,1484
27,1615.5,1530.5,1600,1600,1631,1631,1515,1546,1546,1515
28,1584.5,1530.5,1569,1569,1600,1600,1515,1546,1546,1515
29,1553.5,1530.5,1538,1538,1569,1569,1515,1546,1546,1515
30,1508.5,1568.5,1493,1493,1524,1524,1553,1584,1584,1553
31,1539.5,1568.5,1524,1524,1555,1555,1553,1584,1584,1553
32,1572.5,1599.5,1557,1557,1588,1588,1584,1615,1615,1584
33,1541.5,1599.5,1526,1526,1557,1557,1584,1615,1615,1584
34,1510.5,1599.5,1495,1495,1526,1526,1584,1615,1615,1584
35,1488.5,1630.5,1473,1473,1504,1504,1615,1646,1646,1615
36,1519.5,1630.5,1504,1504,1535,1535,1615,1646,1646,1615
37,1550.5,1630.5,1535,1535,1566,1566,1615,1646,1646,1615
38,1581.5,1630.5,1566,1566,1597,1597,1615,1646,1646,1615
39,1585.5,1661.5,1570,1570,1601,1601,1646,1677,1677,1646
40,1554.5,1661.5,1539,1539,1570,1570,1646,1677,1677,1646
41,1523.5,1661.5,1508,1508,1539,1539,1646,1677,1677,1646
42,1492.5,1661.5,1477,1477,1508,1508,1646,1677,1677,1646
43,1510.5,1692.5,1495,1495,1526,1526,1677,1708,1708,1677
44,1541.5,1692.5,1526,1526,1557,1557,1677,1708,1708,1677
45,1572.5,1692.5,1557,1557,1588,1588,1677,1708,1708,1677
46,1577.5,1723.5,1562,1562,1593,1593,1708,1739,1739,1708
47,1546.5,1723.5,1531,1531,1562,1562,1708,1739,1739,1708
48,1515.5,1723.5,1500,1500,1531,1531,1708,1739,1739,1708
49,1508.5,1754.5,1493,1493,1524,1524,1739,1770,1770,1739
50,1539.5,1754.5,1524,1524,1555,1555,1739,1770,1770,1739
51,1570.5,1754.5,1555,1555,1586,1586,1739,1770,1770,1739
